GeneratorName=FCCS 3.0,GeneratorVersion=3.0.0,DateCreated=10/29/2012
fuelbed_number,site_name,site_description,cover_type,ecoregion,overstory_loading,midstory_loading,understory_loading,snags_c1_foliage_loading,snags_c1wo_foliage_loading,snags_c1_wood_loading,snags_c2_loading,snags_c3_loading,shrubs_primary_loading,shrubs_secondary_loading,shrubs_primary_perc_live,shrubs_secondary_perc_live,nw_primary_loading,nw_secondary_loading,nw_primary_perc_live,nw_secondary_perc_live,w_sound_0_quarter_loading,w_sound_quarter_1_loading,w_sound_1_3_loading,w_sound_3_9_loading,w_sound_9_20_loading,w_sound_gt20_loading,w_rotten_3_9_loading,w_rotten_9_20_loading,w_rotten_gt20_loading,w_stump_sound_loading,w_stump_rotten_loading,w_stump_lightered_loading,litter_depth,litter_loading,lichen_depth,lichen_loading,moss_depth,moss_loading,basal_accum_loading,squirrel_midden_loading,ladderfuels_loading,duff_lower_depth,duff_lower_loading,duff_upper_depth,duff_upper_loading,Total_aboveground_fuel_loading,efg_natural,efg_activity
1.000000,,,13,240.000000,19.441261,8.724524,0.513638,0.000000,1.304389,0.000000,0.250149,1.176212,2.695305,0.000000,95.000000,0.000000,0.200000,0.000000,90.000000,0.000000,0.200000,0.800000,3.500000,0.500000,0.500000,0.000000,3.000000,4.000000,5.000000,0.000000,0.029405,0.000000,0.500000,1.304750,0.100000,0.002500,0.500000,0.300000,0.000000,0.000000,0.000000,1.500000,33.000000,0.500000,4.000000,162.172470,9,9
2.000000,,,131,240.000000,13.562624,7.043651,0.355776,0.069598,0.000000,23.021986,12.864821,6.432411,1.869412,1.895328,90.000000,90.000000,0.150000,0.010000,85.000000,60.000000,1.000000,2.000000,4.000000,2.000000,3.000000,6.000000,1.000000,3.000000,4.000000,0.000000,0.091891,0.000000,0.500000,1.455970,0.100000,0.001500,0.500000,0.112500,0.000000,0.000000,0.500000,2.500000,42.750004,0.500000,3.000000,681.073242,8,1
3.000000,,,136,240.000000,8.566302,0.000000,0.585708,0.000000,0.000000,0.000000,2.297290,2.297290,1.419839,0.000000,85.000000,0.000000,0.300000,0.010000,90.000000,50.000000,2.500000,3.500000,3.600000,10.700001,0.000000,0.000000,2.500000,0.000000,0.000000,0.000000,6.616141,0.000000,0.750000,2.148187,0.000000,0.000000,0.500000,0.007500,0.000000,0.000000,0.500000,1.800000,30.779999,0.750000,5.940000,116.924690,8,1
4.000000,,,118,240.000000,3.503858,0.000000,0.249043,0.004194,0.000000,0.274071,0.000000,0.000000,5.400000,0.510363,70.000000,90.000000,0.500000,0.100000,90.000000,90.000000,0.200000,0.300000,3.800000,0.000000,0.000000,0.000000,12.000001,7.000000,4.500000,0.000000,13.232283,0.000000,0.750000,2.268750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,9.000000,0.500000,2.000000,67.028145,8,1
5.000000,,,118,240.000000,13.201457,6.339287,1.395140,0.033299,0.000000,3.471569,0.918916,0.737685,2.975991,0.000000,90.000000,0.000000,0.200000,0.010000,50.000000,50.000000,0.500000,1.600000,3.300000,4.300000,8.900001,3.400000,0.800000,1.600000,0.600000,0.022108,0.036756,0.000000,2.000000,4.981000,0.000000,0.000000,0.000000,0.000000,0.005033,0.000000,0.500000,0.600000,9.612001,0.500000,3.560000,279.864746,8,1
6.000000,,,140,240.000000,5.619239,6.510805,0.103491,0.009325,0.000000,7.162395,0.000000,7.822155,2.775789,0.000000,90.000000,0.000000,0.600000,0.100000,75.000000,60.000000,0.100000,0.400000,0.800000,2.600000,2.200000,0.000000,0.300000,0.700000,0.700000,0.210485,0.122521,0.000000,0.500000,1.249500,0.100000,0.000150,0.100000,0.031800,0.003730,0.000000,0.000000,0.200000,3.420000,0.100000,0.760000,196.924850,9,9
7.000000,,,136,240.000000,11.499841,7.405896,0.392040,0.000000,0.000000,0.000000,0.000000,1.829664,0.865338,0.000000,95.000000,0.000000,0.020000,0.000000,95.000000,0.000000,1.000000,3.200000,1.900000,0.600000,0.700000,1.700000,4.900000,5.400000,14.200001,0.000000,0.000000,0.000000,0.400000,1.191960,0.200000,0.002000,0.500000,0.075000,0.000000,0.000000,3.000000,0.900000,16.037998,0.400000,3.168000,243.226227,8,1
8.000000,,,135,240.000000,6.554909,9.987612,0.343270,0.155353,0.000000,32.888554,4.423049,2.948699,1.109114,0.576180,75.000000,90.000000,0.010000,0.010000,90.000000,60.000000,1.000000,2.000000,4.000000,10.000000,20.000000,10.000000,2.000000,10.000000,5.000000,0.000000,0.091891,0.000000,1.000000,2.974950,0.100000,0.001500,0.700000,0.105000,0.000000,0.000000,0.500000,3.000000,53.459999,2.000000,15.840000,631.487854,8,1
9.000000,,,135,240.000000,8.193636,0.000000,2.406917,0.000000,0.000000,0.000000,4.594579,3.445935,1.744756,0.000000,85.000000,0.000000,0.150000,0.000000,90.000000,0.000000,1.500000,2.600000,2.500000,2.000000,3.700000,7.000000,4.700000,8.000000,20.000000,0.000000,1.482506,0.000000,0.500000,1.505000,0.100000,0.001500,0.500000,0.150000,0.000000,0.000000,0.500000,1.000000,18.000000,0.500000,3.840000,119.105049,8,1
10.000000,,,130,240.000000,11.747087,13.375619,0.658366,0.077677,0.000000,4.677483,0.612611,0.408407,0.848785,0.706928,75.000000,90.000000,0.300000,0.050000,60.000000,80.000000,1.300000,1.000000,1.000000,5.000000,35.000000,5.000000,2.000000,10.000000,5.000000,0.000000,0.091891,0.000000,1.000000,2.854750,0.100000,0.006000,0.700000,0.210000,0.000000,0.000000,0.500000,2.000000,34.200001,3.000000,22.800001,738.478088,8,1
