FuelbedNumber,SiteName,SiteDescription,Ecoregion,VegetationForm,NaturalFireRegime,CoverType,TreeOverstoryLoading,TreeMidstoryLoading,TreeUnderstoryLoading,Snag_class1_foliage_loading,Snag_class1_other_loading,Snag_class1_wood_loading,Snag_class2_loading,Snag_class3_loading,Shrubs_primary_loading,Shrubs_secondary_loading,Shrubs_primary_percent_cover,Shrubs_secondary_percent_cover,Nonwoody_primary_loading,Nonwoody_secondary_loading,Nonwoody_primary_percent_live,Nonwoody_secondary_percent_live,Woody_sound_0_quarter,Woody_sound_quarter_1,Woody_sound_1_3,Woody_sound_3_9,Woody_sound_9_20,Woody_sound_gt20,Woody_rotten_3_9,Woody_rotten_9_20,Woody_rotten_gt20,Woody_stump_sound,Woody_stump_rotten,Woody_stump_lightered,LLM_litter_depth,LLM_litter_percent_cover,LLM_lichen_depth,LLM_lichen_percent_cover,LLM_moss_depth,LLM_moss_percent_cover,LLM_moss_type,LLM_litterneedle_short_percent_cover,LLM_litterneedle_long_percent_cover,LLM_litterneedle_other_percent_cover,LLM_litterneedle_broadleaf_deciduous_percent_cover,LLM_litterneedle_broadleaf_evergreen_percent_cover,LLM_litterneedle_palmfrond_percent_cover,LLM_litterneedle_grass_percent_cover,DuffLower_percent,DuffLower_depth,DuffLower_derivation,DuffUpper_percent,DuffUpper_depth,DuffUpper_derivation,GroundFuel_basalAccumulations_depth,GroundFuel_basalAccumulations_radius,GroundFuel_basalAccumulations_percent,SquirrelMidden_depth,SquirrelMidden_density,SquirrelMidden_radius,
1,Black cottonwood -- Douglas-fir -- quaking aspen riparian forest,"Mixed forests such as these are composed of black cottonwood with other conifer and hardwood species, found along rivers and floodplains throughout the Pacific Northwest. Conifers can include Douglas-fir, ponderosa pine, grand fir, Engelmann spruce, and other species.  Hardwoods can consist of various species of cottonwood, aspen, alder, maple, or birch.","240,260,330,340",1,3,"13,129,142",19.441265,8.724524,0.5136378,,1.3043895,,0.25014937,1.1762124,1.15097,0,95.00,-3.00,0.2,0,90.00,-3.00,0.2,0.8,3.5000002,0.5,0.5,0,3.0000002,4.0,5.0,0,0.029405309,0,0.50,85.00,0.10,5.00,0.50,40.00,2,30.00,-1,-1,70.00,-1,-1,-1,100.00,1.50,4,100.00,0.50,2,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
2,Western hemlock -- western redcedar -- Douglas-fir forest,This is an example of old-growth forests found in the temperate coastal ranges west of the Cascade Range in Oregon and Washington. Douglas-fir is often dominant with codominant western hemlock and western redcedar.,"240,260",2,5,"131,134,135,136,137",13.562626,7.0436525,0.35577634,9.968505E-4,,23.021986,12.864821,6.4324107,0.71664506,1.0709201,90.00,90.00,0.15,0.010000001,85.00,60.00,1.0,2.0,4.0,2.0,3.0000002,6.0000005,1.0,3.0000002,4.0,0,0.091891594,0,0.50,97.00,0.10,3.00,0.50,15.00,2,-1,-1,98.00,1.00,1.00,-1,-1,95.00,2.50,3,75.00,0.50,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
3,Douglas-fir forest,This Douglas-fir forest fuelbed of the Pacific Northwest was clearcut 50 years previously and the second-growth stand was precommercially thinned 1 to 3 years previously.,"240,260",7,5,136,8.566303,0,0.58570784,,,,2.2972896,2.2972896,0.6377901,0,85.00,-3.00,0.3,0.010000001,90.00,50.00,2.5,3.5000002,3.6000001,10.700001,0,0,2.5,0,0,0,6.6161942,0,0.75,95.00,-2.00,-2.00,0.50,1.00,2,-1,-1,85.00,15.00,-1,-1,-1,95.00,1.80,3,99.00,0.75,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
4,Douglas-fir / ceanothus forest,"This dry Douglas-fir forest fuelbed of the eastern Cascade Range was clearcut and burned 15 to 20 years previously, resulting in a ceanothus brushland. This forest type occurs at mid-elevations in the Cascade Range and northern U.S. Rocky Mountains.","240,260,330",2,1,118,3.5038576,0,0.24904345,1.1867271E-5,,0.2740713,,,2.7,0.25518,70.00,90.00,0.5,0.1,90.00,90.00,0.2,0.3,3.8000002,0,0,0,12.000001,7.0000005,4.5,0,13.2323885,0,0.75,100.00,-2.00,-2.00,-3.00,-3.00,-3,-1,-1,75.00,-1,25.00,-1,-1,50.00,1.00,3,50.00,0.50,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
5,Douglas-fir -- white fir forest,"Forests composed of white fir, Douglas-fir, and other conifers are located in the southern Cascade Range and Sierra Nevada. These are cool forests of moderate to high elevation (3,000 to 5,000 feet) which characterize mid-seral conditions. This fuelbed represents forests between 80 and 120 years old.","240,260,320",2,3,"118,119,136",13.201457,6.3392878,1.3951398,1.5031877E-4,,3.4715695,0.91891587,0.73768526,1.763545,0,90.00,-3.00,0.2,0.010000001,50.00,50.00,0.5,1.6,3.3000002,4.3,8.900001,3.4,0.8,1.6,0.6,0.022108415,0.036756635,0,2.00,85.00,-2.00,-2.00,-3.00,-3.00,-3,10.00,-1,80.00,-1,-1,-1,10.00,89.00,0.60,3,89.00,0.50,1,3.50,1.66,7.00,-2.00,-2.00,-2.00,
6,Oregon white oak -- Douglas-fir forest,"Oregon white oak forests are found in the inland valleys of southeastern Vancouver Island through western Washington, western Oregon, and northern California. In the absence of fire throughout the 20th century, Douglas-fir invaded most pure oak stands. The Douglas-fir trees in this fuelbed were selectively thinned less than 5 years previously.","240,260",4,1,140,5.6192403,6.510805,0.10349071,3.1013135E-4,,7.1623964,,7.8221564,1.0950851,0,90.00,-3.00,0.6,0.1,75.00,60.00,0.1,0.4,0.8,2.6000001,2.2,0,0.3,0.70000005,0.70000005,0.21048672,0.122522146,0,0.50,85.00,0.10,0.30,0.10,21.20,2,-1,-1,80.00,10.00,-1,-1,10.00,95.00,0.20,3,95.00,0.10,1,1.00,2.50,40.00,-2.00,-2.00,-2.00,
7,Douglas-fir -- sugar pine -- tanoak forest,"Mixed forests dominated by Douglas-fir, sugar pine, and tanoak are common mid-elevation forests of the west slopes of the northern Sierra Nevada and coastal Pacific Northwest.","240,260",4,3,"136,141,150",11.499841,7.405897,0.39203998,,,,,1.8296638,0.453215,0,95.00,-2.00,0.020000001,0,95.00,-3.00,1.0,3.2,1.9000001,0.6,0.70000005,1.7,4.9,5.4,14.200001,,,,0.40,99.00,0.20,2.00,0.50,10.00,2,-1,50.00,40.00,-1,10.00,-1,-1,99.00,0.90,3,99.00,0.40,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
8,Western hemlock -- Douglas-fir -- western redcedar / vine maple forest,"Old-growth Douglas-fir, western hemlock, and western redcedar forests are commonly associated with vine maple and other productive understory vegetation in mesic habitats. These forests are abundant on the west side of the Cascade Range in Washington and northern Oregon.",240,2,5,"135,137",6.554909,9.987612,0.3432702,0.0014240724,,32.888554,4.423049,2.948699,0.43139005,0.299045,75.00,90.00,0.010000001,0.010000001,90.00,60.00,1.0,2.0,4.0,10.0,20.0,10.0,2.0,10.0,5.0,0,0.091891594,0,1.00,99.00,0.10,3.00,0.70,10.00,2,-1,-1,95.00,5.00,-1,-1,-1,99.00,3.00,3,99.00,2.00,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
9,Douglas-fir -- western hemlock -- western redcedar / vine maple forest,Douglas-fir dominates second-growth mesic mixed-conifer forests of the west side of the Cascade Range in Washington and northern Oregon. This fuelbed represents stands that were clearcut 40 to 60 years previously.,240,2,5,"135,137",8.193637,0,2.4069166,,,,4.594579,3.4459345,0.73328507,0,85.00,-3.00,0.15,0,90.00,-3.00,1.5000001,2.6000001,2.5,2.0,3.7000003,7.0000005,4.7000003,8.0,20.0,0,1.4825176,0,0.50,100.00,0.10,3.00,0.50,20.00,2,-1,-1,90.00,10.00,-1,-1,-1,100.00,1.00,3,96.00,0.50,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
10,Western hemlock -- Douglas-fir -- Sitka spruce forest,"This fuelbed represents forests on the Pacific Northwest coast, from southern Oregon to British Columbia. Moist to wet conditions support large old-growth Sitka spruce, Douglas-fir, and western hemlock.",240,2,5,"130,131,132,136,137",11.747089,13.375623,0.6583659,2.0253476E-4,,4.677483,0.6126107,0.40840712,0.33339,0.387705,75.00,90.00,0.3,0.05,60.00,80.00,1.3000001,1.0,1.0,5.0,35.0,5.0,2.0,10.0,5.0,0,0.091891594,0,1.00,95.00,0.10,12.00,0.70,20.00,2,-1,-1,95.00,5.00,-1,-1,-1,95.00,2.00,3,95.00,3.00,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
