parameters_fuelbeds,fuelbeds
parameters_filename,filename
consumption_summary_total_total,c_total
consumption_summary_canopy_total,c_canopy
consumption_summary_shrub_total,c_shrub
consumption_summary_nonwoody_total,c_herb
consumption_summary_woody_fuels_total,c_wood
consumption_summary_litter-lichen-moss_total,c_llm
consumption_summary_ground_fuels_total,c_ground
consumption_summary_total_flaming,c_total_f
consumption_summary_canopy_flaming,c_canopy_f
consumption_summary_shrub_flaming,c_shrub_f
consumption_summary_nonwoody_flaming,c_herb_f
consumption_summary_woody_fuels_flaming,c_wood_f
consumption_summary_litter-lichen-moss_flaming,c_llm_f
consumption_summary_ground_fuels_flaming,c_ground_f
consumption_summary_total_smoldering,c_total_s
consumption_summary_canopy_smoldering,c_canopy_s
consumption_summary_shrub_smoldering,c_shrub_s
consumption_summary_nonwoody_smoldering,c_herb_s
consumption_summary_woody_fuels_smoldering,c_wood_s
consumption_summary_litter-lichen-moss_smoldering,c_llm_s
consumption_summary_ground_fuels_smoldering,c_ground_s
consumption_summary_total_residual,c_total_r
consumption_summary_canopy_residual,c_canopy_r
consumption_summary_woody_fuels_residual,c_wood_r
consumption_summary_litter-lichen-moss_residual,c_llm_r
consumption_summary_ground_fuels_residual,c_ground_r
emissions_ch4_total,ch4
emissions_co_total,co
emissions_co2_total,co2
emissions_nmhc_total,nmhc
emissions_pm_total,pm
emissions_pm10_total,pm10
emissions_pm25_total,pm25
emissions_ch4_flaming,e_ch4_f
emissions_co_flaming,e_co_f
emissions_co2_flaming,e_co2_f
emissions_nmhc_flaming,e_nmhc_f
emissions_pm_flaming,e_pm_f
emissions_pm10_flaming,e_pm10_f
emissions_pm25_flaming,e_pm25_f
emissions_ch4_smoldering,e_ch4_s
emissions_co_smoldering,e_co_s
emissions_co2_smoldering,e_co2_s
emissions_nmhc_smoldering,e_nmhc_s
emissions_pm_smoldering,e_pm_s
emissions_pm10_smoldering,e_pm10_s
emissions_pm25_smoldering,e_pm25_s
emissions_ch4_residual,e_ch4_r
emissions_co_residual,e_co_r
emissions_co2_residual,e_co2_r
emissions_nmhc_residual,e_nmhc_r
emissions_pm_residual,e_pm_r
emissions_pm10_residual,e_pm10_r
emissions_pm25_residual,e_pm25_r
consumption_canopy_overstory_total,c_overstory_crown
