parameters_fuelbeds, Fuelbeds
parameters_filename Filename
consumption_summary_total_flaming,C_total_F
consumption_summary_total_smoldering,C_total_S
consumption_summary_total_residual,C_total_R
consumption_summary_canopy_flaming,C_canopy_F
consumption_summary_canopy_smoldering,C_canopy_S
consumption_summary_canopy_residual,C_canopy_R
consumption_summary_shrub_flaming,C_shrub_F
consumption_summary_shrub_smoldering,C_shrub_S
consumption_summary_shrub_residual,C_shrub_R
consumption_summary_nonwoody_flaming,C_herb_F
consumption_summary_nonwoody_smoldering,C_herb_S
consumption_summary_nonwoody_residual,C_herb_R
consumption_summary_woody_fuels_flaming,C_wood_F
consumption_summary_woody_fuels_smoldering,C_wood_S
consumption_summary_woody_fuels_residual,C_wood_R
consumption_summary_litter-lichen-moss_flaming,C_llm_F
consumption_summary_litter-lichen-moss_smoldering,C_llm_S
consumption_summary_litter-lichen-moss_residual,C_llm_R
consumption_summary_ground_fuels_flaming,C_ground_F
consumption_summary_ground_fuels_smoldering,C_ground_S
consumption_summary_ground_fuels_residual,C_ground_R
emissions_ch4_flaming,E_ch4_F
emissions_ch4_smoldering,E_ch4_S
emissions_ch4_residual,E_ch4_R
emissions_co_flaming,E_co_F
emissions_co_smoldering,E_co_S
emissions_co_residual,E_co_R
emissions_co2_flaming,E_co2_F
emissions_co2_smoldering,E_co2_S
emissions_co2_residual,E_co2_R
emissions_nmhc_flaming,E_nmhc_F
emissions_nmhc_smoldering,E_nmhc_S
emissions_nmhc_residual,E_nmhc_R
emissions_pm_flaming,E_pm_F
emissions_pm_smoldering,E_pm_S
emissions_pm_residual,E_pm_R
emissions_pm10_flaming,E_pm10_F
emissions_pm10_smoldering,E_pm10_S
emissions_pm10_residual,E_pm10_R
emissions_pm25_flaming,E_pm25_F
emissions_pm25_smoldering,E_pm25_S
emissions_pm25_residual,E_pm25_R
