parameters_fuelbeds, Fuelbeds
parameters_filename, Filename
consumption_summary_total_total,Total Consumption
consumption_summary_canopy_total,Canopy Consumption
consumption_summary_shrub_total,Shrub Consumption
consumption_summary_nonwoody_total,Herb Consumption
consumption_summary_woody_fuels_total,Wood Consumption
consumption_summary_litter-lichen-moss_total,LLM Consumption
consumption_summary_ground_fuels_total,Ground Consumption
emissions_ch4_total,CH4 Emissions
emissions_co_total,CO Emissions
emissions_co2_total,CO2 Emissions
emissions_nmhc_total,NMHC Emissions
emissions_pm_total,PM Emissions
emissions_pm10_total,PM10 Emissions
emissions_pm25_total,PM25 Emissions
heat_release_total,Total Heat Release
heat_release_flaming,Flaming Heat Release
heat_release_smoldering,Smoldering Heat Release
heat_release_residual,Residual Heat Release
