fuelbeds,filename,c_total,c_canopy,c_shrub,c_herb,c_wood,c_llm,c_ground,c_total_f,c_canopy_f,c_shrub_f,c_herb_f,c_wood_f,c_llm_f,c_ground_f,c_total_s,c_canopy_s,c_shrub_s,c_herb_s,c_wood_s,c_llm_s,c_ground_s,c_total_r,c_canopy_r,c_wood_r,c_llm_r,c_ground_r,ch4,co,co2,nmhc,pm,pm10,pm25,e_ch4_f,e_co_f,e_co2_f,e_nmhc_f,e_pm_f,e_pm10_f,e_pm25_f,e_ch4_s,e_co_s,e_co2_s,e_nmhc_s,e_pm_s,e_pm10_s,e_pm25_s,e_ch4_r,e_co_r,e_co2_r,e_nmhc_r,e_pm_r,e_pm10_r,e_pm25_r,c_overstory_crown,c_midstory_crown,c_understory_crown,c_snagc1f_crown,c_snagc1f_wood,c_snagc1_wood,c_snagc2_wood,c_snagc3_wood,c_ladder,c_shrub_1live,c_shrub_2live,c_herb_1live,c_herb_2live,c_piles,c_wood_1hr,c_wood_10hr,c_wood_100hr,c_wood_s1000hr,c_wood_r1000hr,c_wood_s10khr,c_wood_r10khr,c_wood_s+10khr,c_wood_r+10khr,c_stump_sound,c_stump_rotten,c_stump_lightered,c_litter,c_lichen,c_moss,c_upperduff,c_lowerduff,c_basal,c_squirrel,ch4_canopy,ch4_shrub,ch4_herb,ch4_wood,ch4_llm,ch4_ground,co_canopy,co_shrub,co_herb,co_wood,co_llm,co_ground,co2_canopy,co2_shrub,co2_herb,co2_wood,co2_llm,co2_ground,nmhc_canopy,nmhc_shrub,nmhc_herb,nmhc_wood,nmhc_llm,nmhc_ground,pm_canopy,pm_shrub,pm_herb,pm_wood,pm_llm,pm_ground,pm10_canopy,pm10_shrub,pm10_herb,pm10_wood,pm10_llm,pm10_ground,pm25_canopy,pm25_shrub,pm25_herb,pm25_wood,pm25_llm,pm25_ground,heat_total,heat_flaming,heat_smoldering,heat_residual
0,FB_0000_FCCS.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,FB_0001_FCCS.xml,27.08,4.83,2.51,0.19,9.55,0.98,9.03,12.52,4.43,2.26,0.17,3.87,0.89,0.9,9.22,0.34,0.25,0.02,2.2,0.09,6.32,5.34,0.05,3.47,0.0,1.81,340.42,6480.0,83934.06,268.91,841.15,552.33,493.4,55.09,1151.82,42429.58,65.1,287.96,175.28,152.74,180.75,3375.15,26291.09,129.1,350.42,238.84,215.79,104.59,1953.03,15213.39,74.71,202.77,138.21,124.87,3.11,1.48,0.09,0.0,0.01,0.0,0.01,0.12,0.0,2.51,0.0,0.19,0.0,0.0,0.17,0.68,2.49,0.2,2.22,0.12,2.08,0.0,1.57,0.0,0.01,0.0,0.79,0.0,0.18,9.03,0.0,0.0,0.0,27.27,14.84,1.1,128.24,5.65,163.33,552.84,299.21,22.15,2432.75,114.27,3058.78,16153.72,8357.89,618.61,29295.68,3267.36,26240.8,28.6,15.24,1.13,99.56,5.87,118.52,117.02,61.4,4.54,304.64,23.83,329.73,72.33,38.07,2.82,201.15,14.75,223.22,63.36,33.38,2.47,180.0,12.93,201.27,433242585.3,200316678.91,147547346.37,85378560.02
2,FB_0002_FCCS.xml,32.54,5.04,3.12,0.15,12.94,0.97,10.32,15.17,3.7,2.8,0.13,6.62,0.87,1.03,11.43,0.78,0.31,0.01,3.01,0.09,7.23,5.93,0.56,3.31,0.0,2.06,299.08,6300.07,103199.01,221.35,1129.3,811.87,745.69,45.52,1350.31,51599.92,54.62,285.23,174.48,151.72,166.93,3258.49,33968.3,109.76,555.66,419.6,391.02,86.64,1691.27,17630.79,56.97,288.41,217.79,202.95,2.17,1.2,0.06,0.01,0.0,0.23,0.64,0.64,0.08,1.55,1.57,0.14,0.01,0.0,0.85,1.69,2.85,1.16,0.81,1.05,1.7,1.4,1.38,0.0,0.05,0.0,0.9,0.0,0.07,10.32,0.0,0.0,0.0,30.7,12.97,0.62,112.06,3.98,138.77,711.9,338.47,16.11,2389.04,104.35,2740.2,16578.84,10465.66,498.27,41287.95,3249.35,31118.95,26.21,13.09,0.62,84.46,4.04,92.92,134.81,67.88,3.23,431.39,20.96,471.02,91.82,43.7,2.08,307.9,13.47,352.9,82.91,38.71,1.84,282.18,11.93,328.12,520633083.93,242751755.53,182932596.34,94948732.07
3,FB_0003_FCCS.xml,33.72,1.91,1.42,0.29,17.24,1.37,11.49,16.1,1.53,1.28,0.26,10.65,1.24,1.15,11.89,0.24,0.14,0.03,3.3,0.14,8.04,5.73,0.14,3.29,0.0,2.3,304.06,6338.11,107180.27,225.66,1157.55,833.09,762.99,48.62,1392.39,54793.27,57.92,311.89,194.68,168.85,172.68,3350.35,35340.91,113.43,572.47,432.2,402.37,82.77,1595.38,17046.08,54.31,273.2,206.21,191.77,1.37,0.0,0.11,0.0,0.0,0.0,0.11,0.23,0.08,1.42,0.0,0.28,0.01,1.6,2.12,2.96,2.57,3.51,1.18,0.0,0.0,0.0,0.0,0.0,3.31,0.0,1.37,0.0,0.0,11.49,0.0,0.0,0.0,10.09,5.91,1.2,126.78,5.71,154.38,243.53,154.19,31.22,2711.52,149.03,3048.62,6318.85,4767.82,965.4,55897.03,4609.71,34621.46,9.12,5.96,1.21,100.22,5.76,103.38,47.07,30.92,6.26,519.37,29.89,524.03,31.42,19.91,4.03,365.87,19.24,392.62,28.18,17.63,3.57,331.5,17.04,365.05,539443745.64,257626237.96,190171152.79,91646354.88
4,FB_0004_FCCS.xml,31.17,0.61,4.54,0.56,21.43,1.45,2.58,12.07,0.57,4.09,0.5,5.34,1.3,0.26,8.27,0.04,0.45,0.06,5.77,0.14,1.8,10.83,0.0,10.31,0.0,0.52,314.93,6506.82,97792.26,226.67,1154.24,839.2,773.33,36.23,1070.2,41041.77,43.44,227.17,139.18,121.03,120.66,2353.5,24572.27,79.33,401.33,303.04,282.37,158.04,3083.11,32178.21,103.9,525.74,396.99,369.93,0.56,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,4.15,0.39,0.46,0.09,0.15,0.17,0.25,2.71,0.0,7.35,0.0,3.01,0.0,1.17,0.0,6.62,0.0,1.45,0.0,0.0,2.58,0.0,0.0,0.0,2.28,18.9,2.31,250.77,6.03,34.64,61.77,493.31,60.43,5049.75,157.47,684.1,2054.09,15253.54,1868.53,65978.18,4869.03,7768.89,2.42,19.08,2.34,173.54,6.09,23.2,12.6,98.93,12.12,881.42,31.58,117.59,7.98,63.69,7.8,651.31,20.33,88.1,7.02,56.42,6.91,603.05,18.01,81.92,498662742.89,193067313.2,132317232.77,173278196.93
5,FB_0005_FCCS.xml,24.62,3.69,2.66,0.19,11.02,3.3,3.76,15.56,3.36,2.39,0.18,6.29,2.97,0.38,6.32,0.27,0.27,0.02,2.79,0.33,2.63,2.75,0.05,1.94,0.0,0.75,179.03,3968.38,79845.82,143.04,733.08,511.63,465.63,46.67,1384.62,52911.27,56.01,292.48,178.91,155.58,92.2,1799.85,18762.65,60.63,306.92,231.77,215.98,40.16,783.91,8171.9,26.41,133.68,100.95,94.07,2.11,1.08,0.25,0.01,0.0,0.03,0.05,0.07,0.08,2.66,0.0,0.19,0.01,0.0,0.42,1.36,2.35,2.13,0.52,2.65,0.73,0.67,0.17,0.0,0.02,0.0,3.3,0.0,0.0,3.76,0.0,0.0,0.0,14.88,11.06,0.81,88.0,13.71,50.57,392.59,288.85,21.15,1909.27,357.88,998.64,12393.77,8931.62,653.98,35459.58,11065.93,11340.95,15.24,11.17,0.82,68.1,13.84,33.86,79.11,57.93,4.24,348.37,71.77,171.66,50.69,37.29,2.73,246.11,46.2,128.61,44.83,33.03,2.42,224.84,40.93,119.58,393974129.25,248921009.96,101044220.38,44008898.91
6,FB_0006_FCCS.xml,10.59,2.88,2.55,0.65,3.55,0.78,0.18,7.61,2.1,2.29,0.58,1.91,0.7,0.02,1.87,0.45,0.25,0.06,0.9,0.08,0.12,1.1,0.33,0.74,0.0,0.04,91.4,1777.32,34284.76,80.83,287.42,183.36,162.22,33.38,696.67,25790.76,39.43,174.92,106.66,92.94,36.53,680.71,5340.54,26.07,70.83,48.29,43.62,21.49,399.94,3153.46,15.33,41.68,28.42,25.66,0.9,1.11,0.02,0.0,0.0,0.07,0.0,0.78,0.0,2.55,0.0,0.56,0.09,0.12,0.08,0.34,0.57,1.04,0.22,0.53,0.35,0.0,0.21,0.02,0.06,0.0,0.76,0.0,0.02,0.18,0.0,0.0,0.0,24.48,15.09,3.84,40.22,4.58,3.19,477.81,304.42,77.51,765.53,92.37,59.68,9341.95,8503.45,2165.15,11174.18,2588.05,511.99,21.81,15.5,3.95,32.55,4.71,2.31,77.89,62.47,15.9,105.73,18.99,6.43,49.56,38.73,9.86,69.08,11.77,4.36,43.84,33.96,8.65,61.53,10.32,3.93,169365596.67,121745924.89,29946848.72,17672823.06
7,FB_0007_FCCS.xml,28.84,3.86,0.87,0.02,17.98,0.76,5.35,11.91,3.46,0.78,0.02,6.42,0.69,0.54,8.66,0.33,0.09,0.0,4.42,0.07,3.75,8.28,0.07,7.13,0.0,1.07,282.96,5882.6,90818.5,205.41,1046.66,758.32,698.11,35.73,1058.16,40494.89,42.86,223.97,137.09,119.21,126.39,2466.52,25727.83,83.1,420.6,317.61,295.96,120.83,2357.93,24595.77,79.45,402.09,303.62,282.93,1.84,1.26,0.07,0.0,0.0,0.0,0.0,0.18,0.51,0.87,0.0,0.02,0.0,0.06,0.85,2.71,1.35,0.35,4.0,0.24,3.1,0.39,4.93,0.0,0.0,0.0,0.72,0.0,0.05,5.35,0.0,0.0,0.0,16.22,3.6,0.08,187.99,3.15,71.92,422.04,93.98,2.01,3861.92,82.48,1420.18,12964.68,2905.81,62.28,56192.12,2565.4,16128.21,16.3,3.63,0.08,134.04,3.19,48.16,84.52,18.85,0.4,682.21,16.56,244.12,54.48,12.13,0.26,497.9,10.65,182.9,48.29,10.75,0.23,459.35,9.43,170.06,461503559.12,190502635.5,138548753.15,132452170.46
8,FB_0008_FCCS.xml,53.53,3.76,1.69,0.02,26.9,2.0,19.16,19.89,3.04,1.52,0.02,11.6,1.8,1.92,21.99,0.45,0.17,0.0,7.76,0.2,13.41,11.65,0.27,7.55,0.0,3.83,550.77,11356.77,167583.92,394.52,2008.7,1463.22,1349.29,59.67,1770.29,67649.05,71.61,373.95,228.75,198.91,321.02,6266.56,65326.09,211.08,1068.61,806.96,751.99,170.07,3319.93,34608.78,111.83,566.13,427.51,398.39,1.05,1.7,0.06,0.02,0.0,0.33,0.22,0.29,0.08,1.11,0.58,0.01,0.01,0.0,0.85,1.69,2.85,5.05,1.49,6.06,5.25,2.02,1.59,0.0,0.05,0.0,1.93,0.0,0.07,19.16,0.0,0.0,0.0,19.7,7.01,0.08,258.24,8.28,257.46,476.99,183.02,2.01,5394.11,216.48,5084.16,12487.1,5659.22,62.28,84921.21,6716.1,57738.02,17.9,7.08,0.08,188.68,8.38,172.41,92.35,36.71,0.4,961.87,43.45,873.92,61.54,23.63,0.26,695.07,27.95,654.77,55.17,20.93,0.23,639.41,24.75,608.8,856443313.96,318254847.08,351806596.61,186381870.28
9,FB_0009_FCCS.xml,37.72,2.4,1.74,0.14,26.26,1.02,6.14,13.44,1.83,1.57,0.13,8.38,0.93,0.61,11.99,0.35,0.17,0.01,7.06,0.1,4.3,12.29,0.23,10.83,0.0,1.23,394.74,8113.23,117836.11,281.42,1432.37,1045.42,964.57,40.32,1195.51,45709.1,48.38,252.72,154.63,134.46,175.04,3416.57,35622.63,115.09,582.61,439.95,409.98,179.37,3501.15,36504.37,117.94,597.04,450.85,420.13,1.31,0.0,0.43,0.0,0.0,0.0,0.23,0.34,0.08,1.74,0.0,0.14,0.0,0.02,1.27,2.2,1.78,1.19,4.01,1.32,4.8,1.66,7.27,0.0,0.74,0.0,0.93,0.0,0.09,6.14,0.0,0.0,0.0,13.89,7.26,0.58,286.27,4.21,82.54,326.71,189.48,15.11,5841.74,110.29,1629.9,7927.02,5858.89,467.13,81632.63,3440.52,18509.91,12.11,7.33,0.58,201.86,4.27,55.27,62.34,38.0,3.03,1026.68,22.16,280.17,42.14,24.46,1.95,752.72,14.24,209.91,37.96,21.67,1.73,695.43,12.6,195.17,603463562.09,215036094.81,191839479.12,196587988.16
