Fuelbeds,Filename,Total Consumption,Canopy Consumption,Shrub Consumption,Herb Consumption,Wood Consumption,LLM Consumption,Ground Consumption,C_total_F,C_canopy_F,C_shrub_F,C_herb_F,C_wood_F,C_llm_F,C_ground_F,C_total_S,C_canopy_S,C_shrub_S,C_herb_S,C_wood_S,C_llm_S,C_ground_S,C_total_R,C_canopy_R,C_wood_R,C_llm_R,C_ground_R,CH4 Emissions,CO Emissions,CO2 Emissions,NMHC Emissions,PM Emissions,PM10 Emissions,PM25 Emissions,E_ch4_F,E_co_F,E_co2_F,E_nmhc_F,E_pm_F,E_pm10_F,E_pm25_F,E_ch4_S,E_co_S,E_co2_S,E_nmhc_S,E_pm_S,E_pm10_S,E_pm25_S,E_ch4_R,E_co_R,E_co2_R,E_nmhc_R,E_pm_R,E_pm10_R,E_pm25_R,C_overstory_crown,C_midstory_crown,C_understory_crown,C_snagC1F_crown,C_snagC1F_wood,C_snagC1_wood,C_snagC2_wood,C_snagC3_wood,C_ladder,C_shrub_1live,C_shrub_1dead,C_shrub_2live,C_shrub_2dead,C_herb_1live,C_herb_1dead,C_herb_2live,C_herb_2dead,C_wood_1hr,C_wood_10hr,C_wood_100hr,C_wood_S1000hr,C_wood_R1000hr,C_wood_S10khr,C_wood_R10khr,C_wood_S+10khr,C_wood_R+10khr,C_stump_sound,C_stump_rotten,C_stump_lightered,C_litter,C_lichen,C_moss,C_upperduff,C_lowerduff,C_basal_accum,C_squirrel,CH4_canopy,CH4_shrub,CH4_herb,CH4_wood,CH4_llm,CH4_ground,CO_canopy,CO_shrub,CO_herb,CO_wood,CO_llm,CO_ground,CO2_canopy,CO2_shrub,CO2_herb,CO2_wood,CO2_llm,CO2_ground,NMHC_canopy,NMHC_shrub,NMHC_herb,NMHC_wood,NMHC_llm,NMHC_ground,PM_canopy,PM_shrub,PM_herb,PM_wood,PM_llm,PM_ground,PM10_canopy,PM10_shrub,PM10_herb,PM10_wood,PM10_llm,PM10_ground,PM25_canopy,PM25_shrub,PM25_herb,PM25_wood,PM25_llm,PM25_ground,Total Heat Release,Flaming Heat Release,Smoldering Heat Release,Residual Heat Release
0,FB_0000_FCCS.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,FB_0001_FCCS.xml,19.7031867321871,4.779115610000001,2.1554141424227695,0.18547999999999998,5.916006979764329,1.60725,5.05992,11.09928741395383,4.420740468,2.042254899945574,0.17620599999999997,2.492444046008258,1.4616500000000001,0.505992,5.446286458403816,0.322584686,0.11315924247719539,0.009274000000000001,1.3137245299266214,0.1456,3.5419439999999995,3.1576128598294497,0.035790456000000005,2.1098384038294498,0.0,1.011984,217.47329125876888,4170.161592557128,62145.20200217257,178.17088500782563,582.2317846138022,378.23101613759525,336.7425504968951,48.836864621396856,1021.1344420837523,37615.48504588953,57.716294552559916,255.28361052093808,155.3900237953536,135.4113064502367,106.7472145847148,1993.3408437757967,15527.362692909279,76.24801041765342,206.958885419345,141.05881927265884,127.44310312664929,61.88921205265722,1155.6863066975786,9002.354263373762,44.2065800376123,119.98928867351908,81.78217306958274,73.88814092000912,3.1106017599999998,1.4831690800000004,0.09245484000000001,0.0,0.00682758,0.0,0.006058250000000001,0.08000410000000001,0.0,0.10777070712113833,2.047643435301631,0.0,0.0,0.018547999999999995,0.166932,0.0,0.0,0.2,0.6920000000000001,1.4077,0.12423397434131377,0.3276405286919881,0.08862435997322905,1.5043390233802059,0.0,1.5567665933775918,0.0,0.0147025,0.0,1.30475,0.0025,0.3,5.05992,0.0,0.0,0.0,26.475410842400002,11.203842712313556,0.9570768,78.06858730405534,9.285020000000001,91.4833536,537.873425028,229.3037335416463,19.605235999999998,1482.328885987482,187.7614,1713.2889119999998,16003.616975894,7243.818856218033,623.6023079999999,18207.470796060545,5368.63745,14698.055615999998,28.005102421600004,12.20395487439772,1.0461071999999998,60.89059011182794,9.63898,66.38615039999999,115.29528616,51.27191391288162,4.40515,187.42160454092064,39.15075,184.68707999999998,71.1722827298,31.522392979397395,2.7070805999999994,123.56449662839785,24.23414,125.03062319999998,62.319012032399996,27.56343605330237,2.3667247999999996,110.51919001119282,21.239169999999998,112.73501759999999,315250987.7149936,177588598.62326127,87140583.33446105,50521805.75727119
2,FB_0002_FCCS.xml,25.84476095270205,4.90214749,3.0704044015965697,0.148384,8.651515061105481,1.56997,7.502339999999999,13.64598373042011,3.634394472,2.9015321595087578,0.14096479999999997,4.80018529891135,1.418673,0.750234,8.129511779613356,0.7438955580000002,0.16887224208781132,0.0074192,1.806389779525545,0.15129700000000001,5.251637999999999,4.069265442668587,0.5238574600000001,2.044939982668587,0.0,1.500468,219.0400986365767,4691.144060357743,82652.55779455844,166.23380276341905,849.4050671348004,604.6239369575785,553.6580183062435,40.937951191260325,1214.4925520073898,46409.99066715879,49.125541429512396,256.5444941318981,156.92881289983126,136.4598373042011,118.69087198235499,2316.9108571898064,24152.77949723128,78.04331308428822,395.0942724892091,298.35308231181017,278.0293028627768,59.41127546296136,1159.7406511605473,12089.787630168372,39.06494824961843,197.76630051369332,149.34204174593714,139.16887813926567,2.17001984,1.19742067,0.06403968000000002,0.011135680000000002,0.0,0.13047192000000002,0.4699781,0.7740816000000001,0.085,0.15246340605718975,1.372170654514708,0.15457703410246715,1.3911933069222047,0.0208665,0.11824349999999999,0.0037096000000000004,0.005564400000000001,1.0,1.73,1.6088,0.49693589736525506,0.10921350956399603,0.5317461598393743,1.1282542675351543,0.7552064520996291,1.2454132747020734,0.0,0.0459455,0.0,1.45597,0.0015,0.1125,7.502339999999999,0.0,0.0,0.0,29.412377478800003,11.170131213008318,0.5312147199999999,70.62997042476837,6.4649552,100.83144959999998,684.7707181380001,306.3649511913057,14.6603392,1524.8454738284377,169.38154200000002,1991.1210359999995,16127.06981575,10369.830305732172,501.4637279999999,27767.730925076266,5274.41026,22612.052759999995,25.254249072000004,12.066689298274518,0.5786975999999999,54.253432793144526,6.559674000000001,67.52105999999998,129.9394127484,62.75599556423228,3.0107113599999997,277.4181100621682,34.024086600000004,342.25675079999996,88.32207218860002,39.56523111897339,1.8933798399999997,196.5459332100052,21.867339400000002,256.4299812,79.70109793560002,34.79075227449073,1.6633846399999999,179.71733085615284,19.361087400000002,238.42436519999998,413516175.2432328,218335739.68672174,130072188.4738137,65108247.08269739
3,FB_0003_FCCS.xml,27.503301031290253,2.1376475100000003,1.1066867943581986,0.28749399999999997,14.813515373282053,2.155687,7.002270353650001,14.961658793452838,1.5748380100000001,1.043052303682602,0.2731193,9.429928844405236,1.9404933000000002,0.7002270353650002,8.211169980215214,0.33216480000000004,0.06363449067559643,0.014374699999999999,2.6842130419846164,0.21519370000000002,4.901589247555,4.330472257622201,0.23064470000000004,2.6993734868922012,0.0,1.4004540707300004,226.59436722778477,4791.148557198366,88234.42225594967,172.86474969846938,889.6201940638117,633.8398270253408,578.125172680568,45.19825960515851,1290.9279455129024,50916.1984074915,53.81721691003021,290.45390832891337,181.56945973470764,157.44866855452838,119.02714718624212,2303.109731312236,24423.888391141,78.15111546266604,393.88409752645936,297.3459868548984,276.69818311936035,62.368960436384135,1197.1108803732275,12894.33545731716,40.89641732577313,205.28218820843898,154.9243804357348,143.9783210066793,1.3706083200000003,0.0,0.10542744000000001,0.0,0.0,0.0,0.13427945,0.4423323,0.085,0.1660030191537298,0.9406837752044688,0.0,0.0,0.02782199999999999,0.25039799999999995,0.0046370000000000005,0.0046370000000000005,2.5,3.0275,1.44792,2.658607299372063,0.27303377390999006,0.0,0.0,0.0,0.0,0.0,3.3080705000000004,0.0,2.148187,0.0,0.0075,7.002270353650001,0.0,0.0,0.0,12.941532729999999,4.058220474911514,1.02922852,105.49156402981724,8.963307920000002,94.110513553056,300.56129039,110.96748487029656,28.4044072,2258.7787146793585,234.03410820000002,1858.4025518587102,7028.13109651,3736.4789566217264,971.585973,48154.42518791683,7238.958196000001,21104.842845901105,11.072388036000001,4.365879403743093,1.1212266,84.2331870758763,9.051635400000002,63.02043318285,56.959496288000004,22.702019556066904,5.83325326,437.74216356623174,46.93968786000001,319.443573533513,38.765745765000005,14.330487300144313,3.66842344,307.5242880924394,30.213281740000006,239.33760068775703,34.99646500000001,12.60682261793142,3.2228077400000004,278.0023679436395,26.764557540000006,222.53215183899704,440052816.500644,239386540.69524541,131378719.68344343,69287556.12195522
4,FB_0004_FCCS.xml,24.348067179662266,0.6077893700000001,4.99101566072561,0.55644,14.094972148936654,2.26875,1.8290999999999995,11.14632006473532,0.569549096,4.670909411443509,0.528618,3.152458557291812,2.041875,0.18290999999999996,5.691981337963097,0.03789722400000001,0.32010624928210146,0.027822000000000006,3.798910864680996,0.226875,1.2803699999999996,7.509765776963846,0.00034305,7.143602726963846,0.0,0.3658199999999999,226.0560835221393,4743.981582575223,77139.15848989917,166.7352867115458,850.2988518344735,612.164458150275,562.4112652258548,33.46771833340596,988.2900901238435,37911.53500391843,40.12264392744715,209.86921090102402,128.59351130445617,111.82267738735321,83.0243561896612,1618.8114636680825,16913.49295885476,54.58095608484573,276.04265859900653,208.42912896724565,194.21018001233793,109.56400899907214,2136.880028783296,22314.130527125984,72.03168669925292,364.38698233444296,275.1418178785732,256.37840782616354,0.5606172800000001,0.0,0.044827740000000005,0.00067104,0.0,0.0016733100000000001,0.0,0.0,0.0,1.368011638265786,3.192027155953502,0.04309768665063219,0.3878791798556898,0.04636999999999999,0.41733000000000003,0.009273999999999998,0.083466,0.2,0.2595,1.52836,0.0,1.3105622239814618,0.0,2.63259329091536,0.0,1.4010899340398326,0.0,6.6161414999999995,0.0,2.26875,0.0,0.0,1.8290999999999995,0.0,0.0,0.0,2.2669552884,18.686279473849208,1.9920552000000002,169.0896895598901,9.438,24.58310399999999,61.588347634,506.94121866387115,54.97627200000001,3388.6463542773513,246.38625000000002,485.44313999999986,2050.64832955,16836.798574936496,1880.48898,43239.852705412675,7618.462500000001,5512.907399999998,2.4174833760000003,19.888293874304807,2.170116,116.26874346124099,9.52875,16.461899999999996,12.5660003212,103.3702606502481,11.2901676,590.2155062630253,49.413375,83.44354199999998,7.953232659800001,65.46335758025347,7.100174400000001,437.32118051022155,31.807875000000003,62.51863799999998,7.003308330800001,57.65672783988296,6.2376924,405.20686365517173,28.177875000000004,58.12879799999998,389569074.87459624,178341121.03576514,91071701.40740955,120156252.43142153
5,FB_0005_FCCS.xml,17.697885813954844,3.611343690000001,2.3925655024371397,0.194754,7.181643495172541,4.314766345,0.00281278134516129,13.968391420104942,3.333143724000001,2.260974399803097,0.1850163,4.305686007667328,3.8832897104999997,0.000281278134516129,2.5110394689867355,0.24887930000000005,0.1315911026340427,0.009737700000000002,1.6882296193146282,0.4314766345,0.001125112538064516,1.2184549248631666,0.029320666000000002,1.187727868190586,0.0,0.001406390672580645,96.35579241052338,2306.092738636562,58586.82706390496,86.08935529333685,443.8591862390782,297.5089455854982,267.2326224707161,41.90517426031482,1243.1868363893398,47506.4992197769,50.28620911237779,262.60575869797293,160.63650133120683,139.68391420104942,36.661176247206335,715.6462486612196,7460.298262359591,24.10597890227266,122.03651819275535,92.1551485118132,85.87754983934636,17.78944190300223,347.2596535860025,3620.0295817684682,11.697167278686399,59.2169093483499,44.71729574247822,41.671158430320304,2.1122331200000004,1.0776787900000002,0.2511252,0.00532784,0.0,0.01368714,0.020337900000000003,0.0459537,0.085,0.23925655024371392,2.153308952193426,0.0,0.0,0.09274,0.09274,0.0046370000000000005,0.0046370000000000005,0.5,1.3840000000000001,1.3272599999999999,1.0684121793352983,0.08737080765119683,1.577513784772197,0.6017356093520824,0.4279503228564565,0.186811991205311,0.0022108,0.018378,0.0,4.314766345,0.0,0.0,0.0,0.0,0.00281278134516129,0.0,14.061150675600004,8.704153297866315,0.69721932,54.90603734057811,17.949427995199997,0.03780378127896773,375.9367817460001,238.73018583317779,19.2416952,1202.8539386213783,468.583625067,0.7465121690058063,12162.553904310003,8080.531099656073,658.1711429999999,23188.107807454573,14488.98538651,8.477722974316128,14.670037080000006,9.402782424577959,0.7595406,43.10966150765243,18.122018648999997,0.025315032106451613,76.18362035880003,48.9016463043127,3.95155866,220.7184308368992,93.9756109941,0.12831908496625805,48.54109157820001,30.83059906440498,2.4850610399999997,155.06302887961564,60.4930241569,0.0961408663776129,42.84587607720002,27.110159708115226,2.18319234,141.4146061493516,53.589398004900005,0.0893901911492258,283166173.0232775,223494262.72167906,40176631.50378777,19495278.797810666
6,FB_0006_FCCS.xml,8.960571627966633,2.94522445,2.223189845475996,0.64918,2.522390055490637,0.6189650999999999,0.0016221769999999998,6.765586968962879,2.1086440580000003,2.100914403974816,0.6167209999999999,1.3804791992880616,0.5586660899999999,0.0001622177,1.3181796283365919,0.4794858460000001,0.12227544150117978,0.032459,0.6230114600354119,0.06029900999999999,0.0006488708,0.8768050306671635,0.35709454600000007,0.5188993961671634,0.0,0.0008110884999999999,72.37967527241028,1413.7767276044594,29198.693589702907,65.50524860365954,238.33255292828892,151.31498017867756,133.650685852035,29.67263164743667,619.0637217075849,22932.021620747197,35.040552536606974,155.51426268114622,94.8467233904803,82.65153273634712,25.6789928696472,478.12805432194256,3762.5154734556236,18.321970217212286,49.79526247929049,33.949929433917724,30.663659350576246,17.028050755326404,316.58495157493184,2504.156495500083,12.14272584984029,33.02302776785221,22.518327354279535,20.335493765111625,0.8990782400000001,1.1068368500000003,0.018628380000000003,0.0014920000000000003,0.0,0.05299848000000001,0.0,0.8661905000000001,0.0,0.22231898454759955,2.0008708609283965,0.0,0.0,0.13910999999999998,0.41733,0.037096000000000004,0.055644,0.1,0.34600000000000003,0.32176000000000005,0.6460166665748316,0.032764052869198805,0.38994718388220784,0.263259329091536,0.0,0.21794732307286283,0.021048499999999998,0.0612605,0.0,0.5870150999999999,0.00015,0.0318,0.0,0.0,0.0016221769999999998,0.0,25.67500953840001,11.640622030912315,3.3497687999999997,28.04495455093795,3.6399913919999998,0.02932896016,500.1836768080001,238.03693675511488,68.61832599999998,532.9218009691442,73.46671794,0.5492691322,9531.285410154,7468.606198790516,2182.6080779999998,7946.249946488782,2065.23185652,4.7120997496,22.677074589600004,12.636611081685562,3.6613751999999993,22.759654962133975,3.749249807999999,0.02128296224,80.28886823,52.9674980684656,15.418024999999997,74.45826971932328,15.140682449999996,0.0592094605,51.18844896480001,32.57973559052798,9.474782099999997,48.64885991067956,9.383069618999999,0.04008399367,45.301438680400004,28.492401059620363,8.283536799999997,43.31044407645461,8.226723131999998,0.03614210356,143369146.04746613,108249391.50340606,21090874.05338547,14028880.490674617
7,FB_0007_FCCS.xml,19.46722792976378,3.8635693800000004,0.6664811001909153,0.018548000000000002,12.065986249572862,1.26896,1.5836832000000018,10.483246449010904,3.46337137,0.6314908424308923,0.0176206,5.0664813165800116,1.145914,0.1583683200000002,4.2823763541709585,0.32658789,0.034990257760023055,0.0009274000000000001,2.6882465664109336,0.12304600000000003,1.1085782400000013,4.701605126581918,0.07361012,4.311258366581917,0.0,0.3167366400000004,162.56384592852473,3489.1731888742406,62348.22585641969,123.93394584906687,633.3593165899948,450.057795063256,411.8610807078574,31.461392507432713,931.4965202157705,35654.69647754929,37.73802247923926,197.21405037440502,120.7238078836254,104.97812899510905,62.490856671945984,1219.098234260673,12724.000348018717,41.085663577341194,207.88537393820857,156.97414561607417,146.27266384814678,68.611596749146,1338.5784343977966,13969.529030851678,45.11025979248641,228.25989227738123,172.3598415635564,160.6102878646016,1.83997456,1.2590023200000002,0.07056720000000001,0.0,0.0,0.0,0.0,0.1840253,0.51,0.033324055009545724,0.6331570451813696,0.0,0.0,0.0009273999999999989,0.017620600000000004,0.0,0.0,1.0,2.7680000000000002,0.76418,0.1490807692095765,0.5351461968635806,0.12407410396252067,2.030857681563278,0.21397516142822826,4.421217436545679,0.0,0.0,0.0,1.1919600000000001,0.002,0.075,1.5836832000000018,0.0,0.0,0.0,16.233005055999996,2.4053302905890135,0.06640184,117.34019293393565,5.2342136,21.28470220800002,422.29648477999996,66.17490843795598,1.8325424,2441.505275976284,137.05445600000002,420.30952128000047,12967.914317079998,2251.656410912493,62.682966,38029.927817627184,4262.82318,4773.221164800006,16.310037828,2.609273507247434,0.0723372,85.38261651381941,5.306532000000001,14.253148800000018,84.56100504199999,13.572554364837895,0.37633892,435.07857187915675,27.523218800000002,72.24762758400009,54.516037722,8.546287147748107,0.23667248000000002,314.9347067375078,17.6937992,54.130291776000064,48.320485642,7.5115752397017115,0.20792308,289.8243314501556,15.667313200000002,50.32945209600007,311475646.87622046,167731943.18417448,68518021.66673534,75225682.0253107
8,FB_0008_FCCS.xml,37.83531176884922,3.5268067600000004,1.3208946319716444,0.018548000000000002,17.209117976877582,3.0814500000000002,12.678494399999998,15.840133896809961,2.919253860000001,1.241725692100912,0.0176206,7.61505430470905,2.77863,1.26784944,14.376874458843526,0.3936714640000001,0.07916893987073212,0.0009274000000000001,4.725340574972796,0.30282000000000003,8.874946079999997,7.61830341319574,0.213881436,4.86872309719574,0.0,2.53569888,368.64999862220316,7678.397610347278,119219.96884087933,268.1781896000928,1366.7601618411356,989.3845677171556,910.6364221918426,47.520401690429885,1409.7719168160866,53872.29538305068,57.02448202851586,297.7945172600273,182.16153981331456,158.40133896809962,209.90236709911548,4097.409220770405,42713.694017224116,138.01799480489785,698.7160986997953,527.6312926395574,491.6891064924486,111.2272298326578,2171.216472760786,22633.979440604544,73.1357127666791,370.249545881313,279.59173526428367,260.54597673129433,1.04878544,1.6978940400000004,0.06178859999999999,0.02485648,0.0,0.14911075000000001,0.17354035,0.2858311,0.085,0.21732450374305584,0.6519735112291676,0.04515966169994209,0.4064369552994789,0.0009273999999999999,0.008346600000000001,0.0037096000000000004,0.005564400000000001,1.0,1.73,1.6088,2.484679486826275,0.21842701912799206,3.544974398929162,3.7608475584505148,1.2586774201660487,1.5567665933775918,0.0,0.0459455,0.0,2.97495,0.0015,0.105,12.678494399999998,0.0,0.0,0.0,17.628033920000004,4.881043598415425,0.06640184,162.91849252778778,12.757062000000001,170.39896473599998,432.96617004000007,133.07673446013982,1.8325424,3412.0479796871377,333.60177000000004,3364.8724137599997,11733.422043760003,4458.319999191147,62.682966,54402.76286032819,10349.798850000001,38212.98212159999,16.341821736000004,5.230234314322312,0.0723372,119.51720674977052,12.910140000000002,114.10644959999996,84.40904350800001,27.19205348921473,0.37633892,609.4345153959209,66.955296,578.3929145279999,55.868610820000015,17.185345552416358,0.23667248000000002,439.67526127273936,43.067739,433.35093859199986,49.970847780000014,15.12483466458816,0.20792308,404.2675206352544,38.142744,402.9225520319999,605364988.3015876,253442142.3489594,230029991.3414964,121892854.61113183
9,FB_0009_FCCS.xml,25.714215997990124,2.76128412,1.369177707485181,0.13910999999999998,17.303356970504943,1.6564999999999999,2.4847871999999995,11.227288873085175,1.8996327499999999,1.290449989304783,0.13215449999999998,6.158147913780393,1.4984250000000001,0.24847871999999996,6.787025390123693,0.48882844999999997,0.07872771818039791,0.006955499999999999,4.315087681943296,0.158075,1.7393510399999996,7.699901734781256,0.37282291999999995,6.830121374781256,0.0,0.4969574399999999,245.16936765536778,5126.2269674485915,81226.04054045769,179.47113008039415,914.9932909963819,660.6960240324912,607.632827770601,33.68671285645553,998.5997373479805,38184.49823500028,40.41754762350663,211.1266855830013,129.18305400047953,112.33346669585174,99.07733008345592,1933.7287359366026,20164.693342739894,65.14498477408745,329.75040753151154,249.00520409153955,232.03949504373034,112.40532471545633,2193.898494164008,22876.84896271751,73.90859768280005,374.1161978818691,282.5077659404721,263.259866031019,1.31098176,0.0,0.43324506,0.0,0.0,0.0,0.2685589,0.6634983999999999,0.085,0.20537665612277717,1.1638010513624037,0.0,0.0,0.013910999999999995,0.12519899999999998,0.0,0.0,1.5,2.249,1.0055,0.49693589736525506,0.5133034949507813,0.6558202638018951,3.0086780467604117,0.881074194116234,6.227066373510367,0.0,0.7412529999999999,0.0,1.505,0.0015,0.15,2.4847871999999995,0.0,0.0,0.0,18.279008251999997,5.020774653348159,0.49801379999999995,181.1728609820196,6.80317,33.395539967999994,414.63795519999996,137.28744872953908,13.744067999999999,3722.683772639052,178.4112,659.4625228799999,9020.61720302,4622.720464339529,470.1222449999999,54057.64775729816,5565.784250000001,7489.148620799998,15.110531051999999,5.401406056029039,0.5425289999999999,129.14172917236513,6.911850000000001,22.363084799999996,77.589352282,28.086626902497258,2.8225418999999996,657.2859428478846,35.852835000000006,113.35599206399999,53.468381904,17.729482134225606,1.7750435999999996,479.7598498982656,23.033240000000003,84.930026496,48.464804354,15.596987854817439,1.5594230999999996,442.65466024578365,20.390415,78.96653721599999,411427455.967842,179636621.9693628,108592406.24197909,123198427.7565001
