fuelbeds,area,fm_duff,fm_1000hr,can_con_pct,shrub_black_pct,pile_black_pct,units,ecoregion,fm_litter,season
0_111,100,30,60,20,80,90,tons,western,30,fall
0_112,100,30,60,20,80,90,tons,western,30,fall
0_113,100,30,60,20,80,90,tons,western,30,fall
0_121,100,30,60,20,80,90,tons,western,30,fall
0_122,100,30,60,20,80,90,tons,western,30,fall
0_123,100,30,60,20,80,90,tons,western,30,fall
0_131,100,30,60,20,80,90,tons,western,30,fall
0_132,100,30,60,20,80,90,tons,western,30,fall
0_133,100,30,60,20,80,90,tons,western,30,fall
1_111,100,30,60,20,80,90,tons,western,30,fall
1_112,100,30,60,20,80,90,tons,western,30,fall
1_113,100,30,60,20,80,90,tons,western,30,fall
1_121,100,30,60,20,80,90,tons,western,30,fall
1_122,100,30,60,20,80,90,tons,western,30,fall
1_123,100,30,60,20,80,90,tons,western,30,fall
1_131,100,30,60,20,80,90,tons,western,30,fall
1_132,100,30,60,20,80,90,tons,western,30,fall
1_133,100,30,60,20,80,90,tons,western,30,fall
1_211,100,30,60,20,80,90,tons,western,30,fall
1_212,100,30,60,20,80,90,tons,western,30,fall
1_213,100,30,60,20,80,90,tons,western,30,fall
1_221,100,30,60,20,80,90,tons,western,30,fall
1_222,100,30,60,20,80,90,tons,western,30,fall
1_223,100,30,60,20,80,90,tons,western,30,fall
1_231,100,30,60,20,80,90,tons,western,30,fall
1_232,100,30,60,20,80,90,tons,western,30,fall
1_233,100,30,60,20,80,90,tons,western,30,fall
1_311,100,30,60,20,80,90,tons,western,30,fall
1_312,100,30,60,20,80,90,tons,western,30,fall
1_313,100,30,60,20,80,90,tons,western,30,fall
1_321,100,30,60,20,80,90,tons,western,30,fall
1_322,100,30,60,20,80,90,tons,western,30,fall
1_323,100,30,60,20,80,90,tons,western,30,fall
1_331,100,30,60,20,80,90,tons,western,30,fall
1_332,100,30,60,20,80,90,tons,western,30,fall
1_333,100,30,60,20,80,90,tons,western,30,fall
1_411,100,30,60,20,80,90,tons,western,30,fall
1_412,100,30,60,20,80,90,tons,western,30,fall
1_413,100,30,60,20,80,90,tons,western,30,fall
1_421,100,30,60,20,80,90,tons,western,30,fall
1_422,100,30,60,20,80,90,tons,western,30,fall
1_423,100,30,60,20,80,90,tons,western,30,fall
1_431,100,30,60,20,80,90,tons,western,30,fall
1_432,100,30,60,20,80,90,tons,western,30,fall
1_433,100,30,60,20,80,90,tons,western,30,fall
1_511,100,30,60,20,80,90,tons,western,30,fall
1_512,100,30,60,20,80,90,tons,western,30,fall
1_513,100,30,60,20,80,90,tons,western,30,fall
1_521,100,30,60,20,80,90,tons,western,30,fall
1_522,100,30,60,20,80,90,tons,western,30,fall
1_523,100,30,60,20,80,90,tons,western,30,fall
1_531,100,30,60,20,80,90,tons,western,30,fall
1_532,100,30,60,20,80,90,tons,western,30,fall
1_533,100,30,60,20,80,90,tons,western,30,fall
2_111,100,30,60,20,80,90,tons,western,30,fall
2_112,100,30,60,20,80,90,tons,western,30,fall
2_113,100,30,60,20,80,90,tons,western,30,fall
2_121,100,30,60,20,80,90,tons,western,30,fall
2_122,100,30,60,20,80,90,tons,western,30,fall
2_123,100,30,60,20,80,90,tons,western,30,fall
2_131,100,30,60,20,80,90,tons,western,30,fall
2_132,100,30,60,20,80,90,tons,western,30,fall
2_133,100,30,60,20,80,90,tons,western,30,fall
2_211,100,30,60,20,80,90,tons,western,30,fall
2_212,100,30,60,20,80,90,tons,western,30,fall
2_213,100,30,60,20,80,90,tons,western,30,fall
2_221,100,30,60,20,80,90,tons,western,30,fall
2_222,100,30,60,20,80,90,tons,western,30,fall
2_223,100,30,60,20,80,90,tons,western,30,fall
2_231,100,30,60,20,80,90,tons,western,30,fall
2_232,100,30,60,20,80,90,tons,western,30,fall
2_233,100,30,60,20,80,90,tons,western,30,fall
2_311,100,30,60,20,80,90,tons,western,30,fall
2_312,100,30,60,20,80,90,tons,western,30,fall
2_313,100,30,60,20,80,90,tons,western,30,fall
2_321,100,30,60,20,80,90,tons,western,30,fall
2_322,100,30,60,20,80,90,tons,western,30,fall
2_323,100,30,60,20,80,90,tons,western,30,fall
2_331,100,30,60,20,80,90,tons,western,30,fall
2_332,100,30,60,20,80,90,tons,western,30,fall
2_333,100,30,60,20,80,90,tons,western,30,fall
2_411,100,30,60,20,80,90,tons,western,30,fall
2_412,100,30,60,20,80,90,tons,western,30,fall
2_413,100,30,60,20,80,90,tons,western,30,fall
2_421,100,30,60,20,80,90,tons,western,30,fall
2_422,100,30,60,20,80,90,tons,western,30,fall
2_423,100,30,60,20,80,90,tons,western,30,fall
2_431,100,30,60,20,80,90,tons,western,30,fall
2_432,100,30,60,20,80,90,tons,western,30,fall
2_433,100,30,60,20,80,90,tons,western,30,fall
2_511,100,30,60,20,80,90,tons,western,30,fall
2_512,100,30,60,20,80,90,tons,western,30,fall
2_513,100,30,60,20,80,90,tons,western,30,fall
2_521,100,30,60,20,80,90,tons,western,30,fall
2_522,100,30,60,20,80,90,tons,western,30,fall
2_523,100,30,60,20,80,90,tons,western,30,fall
2_531,100,30,60,20,80,90,tons,western,30,fall
2_532,100,30,60,20,80,90,tons,western,30,fall
2_533,100,30,60,20,80,90,tons,western,30,fall
3_111,100,30,60,20,80,90,tons,western,30,fall
3_112,100,30,60,20,80,90,tons,western,30,fall
3_113,100,30,60,20,80,90,tons,western,30,fall
3_121,100,30,60,20,80,90,tons,western,30,fall
3_122,100,30,60,20,80,90,tons,western,30,fall
3_123,100,30,60,20,80,90,tons,western,30,fall
3_131,100,30,60,20,80,90,tons,western,30,fall
3_132,100,30,60,20,80,90,tons,western,30,fall
3_133,100,30,60,20,80,90,tons,western,30,fall
4_111,100,30,60,20,80,90,tons,western,30,fall
4_112,100,30,60,20,80,90,tons,western,30,fall
4_113,100,30,60,20,80,90,tons,western,30,fall
4_121,100,30,60,20,80,90,tons,western,30,fall
4_122,100,30,60,20,80,90,tons,western,30,fall
4_123,100,30,60,20,80,90,tons,western,30,fall
4_131,100,30,60,20,80,90,tons,western,30,fall
4_132,100,30,60,20,80,90,tons,western,30,fall
4_133,100,30,60,20,80,90,tons,western,30,fall
4_211,100,30,60,20,80,90,tons,western,30,fall
4_212,100,30,60,20,80,90,tons,western,30,fall
4_213,100,30,60,20,80,90,tons,western,30,fall
4_221,100,30,60,20,80,90,tons,western,30,fall
4_222,100,30,60,20,80,90,tons,western,30,fall
4_223,100,30,60,20,80,90,tons,western,30,fall
4_231,100,30,60,20,80,90,tons,western,30,fall
4_232,100,30,60,20,80,90,tons,western,30,fall
4_233,100,30,60,20,80,90,tons,western,30,fall
4_311,100,30,60,20,80,90,tons,western,30,fall
4_312,100,30,60,20,80,90,tons,western,30,fall
4_313,100,30,60,20,80,90,tons,western,30,fall
4_321,100,30,60,20,80,90,tons,western,30,fall
4_322,100,30,60,20,80,90,tons,western,30,fall
4_323,100,30,60,20,80,90,tons,western,30,fall
4_331,100,30,60,20,80,90,tons,western,30,fall
